Alaska - 1st District,REP,Don Young,"156,994",64.40%,DEM,Sharon Cissna,"69,723",28.60%,Other,Jim McDermott,"12,532",5.10%,Other,Ted Gianoutsos,"4,614",1.90%
Alabama - 1st District,REP,Jo Bonner,Uncontested race
Alabama - 2nd District,REP,Martha Roby,"180,339",63.70%,DEM,Therese Ford,"102,836",36.30%
Alabama - 3rd District,REP,Mike Rogers,"174,931",64.10%,DEM,John Harris,"97,868",35.90%
Alabama - 4th District,REP,Robert Aderholt,"197,736",74%,DEM,Daniel Boman,"69,427",26%
Alabama - 5th District,REP,Mo Brooks,"188,833",65%,DEM,Charlie Holley,"101,504",35%
Alabama - 6th District,REP,Spencer Bachus,"215,966",71.40%,DEM,Penny Bailey,"86,698",28.60%
Alabama - 7th District,DEM,Terri Sewell,"230,077",75.80%,REP,Don Chamberlain,"73,292",24.20%
Arkansas - 1st District,REP,Rick Crawford,"137,668",56.40%,DEM,Scott Ellington,"95,244",39%,Other,Jessica Paxton,"6,371",2.60%,Other,Jacob Holloway,"4,975",2%
Arkansas - 2nd District,REP,Tim Griffin,"157,978",55.20%,DEM,Herb Rule,"112,934",39.50%,Other,Barbara Ward,"8,543",3%,Other,Chris Hayes,"6,688",2.30%
Arkansas - 3rd District,REP,Steve Womack,"179,732",75.80%,Other,Rebekah Kennedy,"38,244",16.10%,Other,David Pangrac,"19,116",8.10%
Arkansas - 4th District,REP,Tom Cotton,"153,096",59.50%,DEM,Gene Jeffress,"94,505",36.70%,Other,Josh Drake,"4,975",1.90%,Other,Bobby Tullis,"4,944",1.90%
Arizona - 1st District,DEM,Ann Kirkpatrick,"117,422",48.60%,REP,Jonathan Paton,"109,508",45.40%,Other,Allen Kim,"14,450",6%
Arizona - 2nd District,DEM,Ron Barber,"137,993",50.10%,REP,Martha McSally,"137,339",49.90%
Arizona - 3rd District,DEM,Raul Grijalva,"89,278",57.80%,REP,Gabriela Saucedo Mercer,"58,258",37.70%,Other,Blanca Guerra,"6,808",4.40%
Arizona - 4th District,REP,Paul Gosar,"156,369",67%,DEM,Johnnie Robinson,"66,064",28.30%,Other,Joe Pamelia,"8,746",3.70%,Other,Richard Grayson,"2,219",1%
Arizona - 5th District,REP,Matt Salmon,"166,897",67.60%,DEM,Spencer Morgan,"79,966",32.40%
Arizona - 6th District,REP,David Schweikert,"163,755",61.60%,DEM,Matt Jette,"88,151",33.20%, Other,Jack Anderson,"8,886",3.30%,Other,Mark Salazar,"4,837",1.80%
Arizona - 7th District,DEM,Ed Pastor,"89,543",81.20%,Other,Joe Cobb,"20,721",18.80%
Arizona - 8th District,REP,Trent Franks,"157,517",63.70%,DEM,Gene Scharer,"86,047",34.80%,Other,Stephen Dolgos,"3,806",1.50%
Arizona - 9th District,DEM,Kyrsten Sinema,"108,056",48.30%,REP,Vernon Parker,"101,089",45.20%,Other,Powell Gammill,"14,361",6.40%
California - 1st District,REP,Doug La Malfa,"139,404",58.10%,DEM,Jim Reed,"100,394",41.90%
California - 2nd District,DEM,Jared Huffman,"169,637",70.40%,REP,Daniel Roberts,"71,258",29.60%
 California - 3rd District,DEM,John Garamendi,"105,831",53.90%,REP,Kim Vann,"90,489",46.10%
California - 4th District,REP,Tom McClintock,"166,291",61.20%,DEM,Jack Uppal,"105,496",38.80%
California - 5th District,DEM,Charles Thompson,"157,220",74.20%,REP,Randy Loftin,"54,671",25.80%
California - 6th District,DEM,Doris Matsui,"135,081",74.60%,REP,Joseph McCray,"45,928",25.40%
California - 7th District,DEM,Ami Bera,"119,726",50.80%,REP,Dan Lungren,"115,902",49.20%
California - 8th District,REP,Paul Cook,"95,962",57.60%,REP,Gregg Imus,"70,608",42.40%
California - 9th District,DEM,Jerry McNerney,"103,044",54.70%,REP,Ricky Gill,"85,345",45.30%
California - 10th District,REP,Jeff Denham,"103,342",53.50%,DEM,Jose Hernandez,"89,718",46.50%
California - 11th District, DEM,George Miller,"165,830",69.10%,REP,Virginia Fuller,"74,017",30.90%
California - 12th District,DEM,Nancy Pelosi,"237,116",84.90%,REP,John Dennis,"42,102",15.10%
California - 13th District,DEM,Barbara Lee,"241,902",86.60%,Other,Marilyn Singleton,"37,311",13.40%
California - 14th District,DEM,Jackie Speier,"150,716",74.20%,REP,Debbie Bacigalupi,"52,465",25.80%
