Alaska - 1st District,REP,Don Young,"125,410",51.60%,DEM,Forrest Dunbar,"99,069",40.80%,Other,Jim McDermott,"18,365",7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 1st District,REP,Bradley Byrne,"103,320",68.30%,DEM,Burton LeFlore,"47,913",31.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 2nd District,REP,Martha Roby,"95,073",66.10%,DEM,Erick Wright,"48,789",33.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 3rd District,REP,Mike Rogers,"102,303",39.60%,REP,Mike Rogers,"102,303",39.60%,DEM,Jesse Smith,"53,641",20.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 4th District,REP,Robert Aderholt,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 5th District,REP,Mo Brooks,"115,212",74.80%, Other,Mark Bray,"38,830",25.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 6th District,REP,Gary Palmer,"135,711",76.30%,DEM,Mark Lester,"42,172",23.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 7th District,DEM,Terri Sewell,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 1st District,REP,Rick Crawford,"122,722",63.20%,DEM,Jackie McPherson,"62,902",32.40%,Other,Brian Willhite,"8,442",4.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 2nd District,REP,French Hill,"123,014",51.90%, DEM,Patrick Hays,"103,379",43.60%,Other,Debbie Standiford,"10,581",4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 3rd District,REP,Steve Womack,"151,093",79.40%,Other,Grant Brand,"39,143",20.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 4th District,REP,Bruce Westerman,"110,163",53.70%,DEM,James Witt,"87,335",42.60%,Other,Ken Hamilton,"7,568",3.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 1st District,DEM,Ann Kirkpatrick,"94,551",52.50%,REP,Andy Tobin,"85,693",47.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 2nd District,REP,Martha McSally,"108,230",50%,DEM,Ron Barber,"108,051",50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 3rd District,DEM,Raul Grijalva,"57,398",55.60%,REP,Gabriela Saucedo Mercer,"45,877",44.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 4th District,REP,Paul Gosar,"121,020",70%,DEM,Mike Weisser,"44,680",25.80%,Other,Chris Rike,"7,302",4.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 5th District,REP,Matt Salmon,"124,801",69.60%,DEM,James Woods,"54,575",30.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 6th District,REP,David Schweikert,"129,527",64.90%,DEM,John Williamson,"70,171",35.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 7th District,DEM,Ruben Gallego,"54,222",75%,Other,Joe Cobb,"10,715",14.80%,Other,Rebecca DeWitt,"3,858",5.30%,Other,Jose Penalosa,"3,495",4.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 8th District,REP,Trent Franks,"128,653",75.80%,Other,Stephen Dolgos,"41,048",24.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 9th District,DEM,Kyrsten Sinema,"88,436",54.70%,REP,Wendy Rogers,"67,681",41.90%,Other,Powell Gammill,"5,595",3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 1st District,REP,Doug La Malfa,"110,258",61.90%,DEM,Heidi Hall,"67,938",38.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 2nd District,DEM,Jared Huffman,"117,397",73.90%,REP,Dale Mensing,"41,516",26.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 3rd District,DEM,John Garamendi,"68,303",52.20%,REP,Dan Logue,"62,494",47.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 4th District,REP,Tom McClintock,"104,900",60.50%,REP,Art Moore,"68,601",39.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 5th District,DEM,Charles Thompson,"97,446",75.80%,Other,James Hinton,"31,050",24.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 6th District,DEM,Doris Matsui,"80,258",72.40%,REP,Joseph McCray,"30,607",27.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 7th District,DEM,Ami Bera,"92,394",50.40%,REP,Doug Ose,"90,962",49.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 8th District,REP,Paul Cook,"74,678",67.80%,DEM,Bob Conaway,"35,414",32.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 9th District,DEM,Jerry McNerney,"46,762",52.20%,REP,Tony Amador,"42,783",47.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 10th District,REP,Jeff Denham,"62,750",56.40%,DEM,Michael Eggman,"48,510",43.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 11th District,DEM,Mark DeSaulnier,"106,989",66.90%,REP,Tue Phan,"53,023",33.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 12th District,DEM,Nancy Pelosi,"150,390",83.10%,REP,John Dennis,"30,485",16.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 13th District,DEM,Barbara Lee,"166,182",88.40%,REP,Dakin Sundeen,"21,756",11.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
