Alaska - 1st District,REP,Don Young,"125,729",50.50%,DEM,Steve Lindbeck,"90,784",36.50%,Other,Jim McDermott,"25,104",10.10%,Other,Bernie Souphanavong,"7,158",2.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 1st District,REP,Bradley Byrne,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 2nd District,REP,Martha Roby,"134,450",54.60%,DEM,Nathan Mathis,"111,640",45.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 3rd District,REP,Mike Rogers,"190,724",40.20%,REP,Mike Rogers,"190,724",40.20%,DEM,Jesse Smith,"93,567",19.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 4th District,REP,Robert Aderholt,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 5th District,REP,Mo Brooks,"204,791",66.80%,DEM,Will Boyd,"101,577",33.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 6th District,REP,Gary Palmer,"240,897",74.80%,DEM,David Putman,"81,296",25.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama - 7th District,DEM,Terri Sewell,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 1st District,REP,Rick Crawford,"183,068",76.50%,Other,Mark West,"56,200",23.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 2nd District,REP,French Hill,"176,100",58.40%,DEM,Dianne Curry,"111,049",36.80%,Other,Chris Hayes,"14,287",4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 3rd District,REP,Steve Womack,"214,268",77.30%,Other,Steve Isaacson,"62,793",22.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas - 4th District,REP,Bruce Westerman,"181,921",74.90%,Other,Kerry Hicks,"60,969",25.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 1st District,DEM,Tom O'Halleran,"117,048",50.80%,REP,Paul Babeu,"100,236",43.50%,Other,Ray Parrish,"13,122",5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 2nd District,REP,Martha McSally,"157,677",56.70%,DEM,Matt Heinz,"120,572",43.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 3rd District,DEM,Raul Grijalva,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 4th District,REP,Paul Gosar,"171,901",71.50%,DEM,Mike Weisser,"68,460",28.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 5th District,REP,Andy Biggs,"157,980",63.10%,DEM,Talia Fuentes,"92,225",36.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 6th District,REP,David Schweikert,"158,978",61.60%,DEM,John Williamson,"99,008",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 7th District,DEM,Ruben Gallego,"88,219",74.60%,REP,Eve Nunez,"30,040",25.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 8th District,REP,Trent Franks,"165,593",68.60%,Other,Mark Salazar,"75,963",31.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 9th District,DEM,Kyrsten Sinema,"132,281",61.10%,REP,Dave Giles,"84,137",38.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
